
5			0	0	
			1	2	
			703.6000	703.6000	
			184.2000	264.4000	
293	24.7925	-6.49297	1926765.0000	5930.0000	1	293
294	24.8425	-6.49297	2297972.0000	4904.0000	1	294
295	24.8925	-6.49297	3108920.0000	6270.0000	1	295
296	24.9425	-6.49297	3131808.0000	3914.0000	1	296
297	24.9925	-6.49297	1629390.0000	5224.0000	1	297
298	25.0425	-6.49297	1833942.0000	2261.0000	1	298
299	25.0925	-6.49297	1911789.0000	4937.0000	1	299
300	25.1425	-6.49297	2056371.0000	2788.0000	1	300
301	25.1925	-6.49297	2461476.0000	6562.0000	1	301
302	25.2425	-6.49297	2553236.0000	5569.0000	1	302
303	25.2925	-6.49297	2644994.0000	7956.0000	1	303
304	25.3425	-6.49297	3222958.0000	3911.0000	1	304
305	25.3925	-6.49297	969726.0000	2472.0000	1	305
306	25.4425	-6.49297	1682126.0000	5318.0000	1	306
307	25.4925	-6.49297	2652572.0000	5096.0000	1	307
308	25.5425	-6.49297	3415134.0000	4811.0000	1	308
309	25.5925	-6.49297	3084962.0000	6140.0000	1	309
310	25.6425	-6.49297	3516216.0000	3285.0000	1	310
311	25.6925	-6.49297	832662.0000	1852.0000	1	311
312	25.7425	-6.49297	1150029.0000	3836.0000	1	312
313	25.7925	-6.49297	3216746.0000	4690.0000	1	313
314	25.8425	-6.49297	3006974.0000	4701.0000	1	314
315	25.8925	-6.49297	2415974.0000	4056.0000	1	315
316	25.9425	-6.49297	2732054.0000	3256.0000	1	316
317	25.9925	-6.49297	1376912.0000	3374.0000	1	317
318	26.0425	-6.49297	2534706.0000	4209.0000	1	318
319	26.0925	-6.49297	3026794.0000	5043.0000	1	319
320	26.1425	-6.49297	3137254.0000	3782.0000	1	320
321	26.1925	-6.49297	2160824.0000	2521.0000	1	321
322	26.2425	-6.49297	632781.0000	1453.0000	1	322
323	26.2925	-6.49297	1354032.0000	3960.0000	1	323
324	26.3425	-6.49297	2247904.0000	5976.0000	1	324
325	26.3925	-6.49297	3509750.0000	7342.0000	1	325
326	26.4425	-6.49297	2856372.0000	5496.0000	1	326
327	26.4925	-6.49297	1759178.0000	2012.0000	1	327
328	26.5425	-6.49297	537148.0000	368.0000	1	328
329	26.5925	-6.49297	517930.0000	1571.0000	1	329
330	26.6425	-6.49297	757246.0000	4011.0000	1	330
331	26.6925	-6.49297	1215096.0000	3211.0000	1	331
332	26.7425	-6.49297	1672947.0000	2410.0000	1	332
333	26.7925	-6.49297	1345986.0000	1068.0000	1	333
334	26.8425	-6.49297	1313236.0000	3091.0000	1	334
335	26.8925	-6.49297	1550139.0000	2898.0000	1	335
336	26.9425	-6.49297	2549612.0000	5115.0000	1	336
337	26.9925	-6.49297	4126478.0000	5312.0000	1	337
338	27.0425	-6.49297	3660026.0000	6942.0000	1	338
339	27.0925	-6.49297	2043087.0000	2133.0000	1	339
340	27.1425	-6.49297	987970.0000	1175.0000	1	340
341	27.1925	-6.49297	643672.0000	1034.0000	1	341
342	27.2425	-6.49297	717079.0000	1139.0000	1	342
343	27.2925	-6.49297	490536.0000	2034.0000	1	343
344	27.3425	-6.49297	990586.0000	2725.0000	1	344
345	27.3925	-6.49297	1102750.0000	2359.0000	1	345
346	27.4425	-6.49297	999755.0000	2176.0000	1	346
347	27.4925	-6.49297	755487.0000	1876.0000	1	347
348	27.5425	-6.49297	917877.0000	1743.0000	1	348
349	27.5925	-6.49297	781817.0000	1502.0000	1	349
350	27.6425	-6.49297	766722.0000	1010.0000	1	350
351	27.6925	-6.49297	667510.0000	1425.0000	1	351
352	27.7425	-6.49297	520351.0000	1595.0000	1	352
353	27.7925	-6.49297	423888.0000	267.0000	1	353
354	27.8425	-6.49297	431450.0000	447.0000	1	354
355	27.8925	-6.49297	326196.0000	442.0000	1	355
356	27.9425	-6.49297	256643.0000	94.0000	1	356
357	27.9925	-6.49297	173724.0000	9.0000	1	357
358	28.0425	-6.49297	323088.0000	98.0000	1	358
359	28.0925	-6.49297	126764.0000	308.0000	1	359
360	28.1425	-6.49297	127804.0000	318.0000	1	360
361	28.1925	-6.49297	248286.0000	218.0000	1	361
362	28.2425	-6.49297	189600.0000	133.0000	1	362
363	28.2925	-6.49297	93574.0000	371.0000	1	363
364	28.3425	-6.49297	315459.0000	248.0000	1	364
365	19.2925	-6.44297	40262.0000	126.0000	1	365
366	19.3425	-6.44297	82627.0000	142.0000	1	366
367	19.3925	-6.44297	112035.0000	485.0000	1	367
368	19.4425	-6.44297	153134.0000	704.0000	1	368
369	19.4925	-6.44297	148190.0000	424.0000	1	369
370	19.5425	-6.44297	144264.0000	119.0000	1	370
371	19.5925	-6.44297	146599.0000	370.0000	1	371
372	19.6425	-6.44297	166401.0000	352.0000	1	372
373	19.6925	-6.44297	173369.0000	335.0000	1	373
374	19.7425	-6.44297	180337.0000	498.0000	1	374
375	19.7925	-6.44297	177622.0000	125.0000	1	375
376	19.8425	-6.44297	106620.0000	547.0000	1	376
377	19.8925	-6.44297	113229.0000	58.0000	1	377
378	19.9425	-6.44297	191830.0000	139.0000	1	378
379	19.9925	-6.44297	137329.0000	219.0000	1	379
380	20.0425	-6.44297	88369.0000	7.0000	1	380
381	20.0925	-6.44297	141393.0000	245.0000	1	381
382	20.1425	-6.44297	182838.0000	241.0000	1	382
383	20.1925	-6.44297	169844.0000	266.0000	1	383
384	20.2425	-6.44297	170362.0000	284.0000	1	384
385	20.2925	-6.44297	148845.0000	146.0000	1	385
386	20.3425	-6.44297	181947.0000	8.0000	1	386
387	20.3925	-6.44297	117875.0000	363.0000	1	387
388	20.4425	-6.44297	143887.0000	539.0000	1	388
389	20.4925	-6.44297	191061.0000	360.0000	1	389
390	20.5425	-6.44297	189659.0000	182.0000	1	390
391	20.5925	-6.44297	134983.0000	185.0000	1	391
392	20.6425	-6.44297	101602.0000	59.0000	1	392
393	20.6925	-6.44297	139695.0000	422.0000	1	393
394	20.7425	-6.44297	153684.0000	883.0000	1	394
395	20.7925	-6.44297	150808.0000	653.0000	1	395
396	20.8425	-6.44297	164046.0000	155.0000	1	396
397	20.8925	-6.44297	156048.0000	395.0000	1	397
398	20.9425	-6.44297	174273.0000	37.0000	1	398
399	20.9925	-6.44297	195652.0000	300.0000	1	399
400	21.0425	-6.44297	240554.0000	211.0000	1	400
401	21.0925	-6.44297	266768.0000	466.0000	1	401
402	21.1425	-6.44297	222384.0000	369.0000	1	402
403	21.1925	-6.44297	201496.0000	326.0000	1	403
404	21.2425	-6.44297	128466.0000	283.0000	1	404
405	21.2925	-6.44297	134991.0000	351.0000	1	405
406	21.3425	-6.44297	108532.0000	140.0000	1	406
407	21.3925	-6.44297	76963.0000	9.0000	1	407
408	21.4425	-6.44297	50554.0000	0.0000	1	408
409	21.4925	-6.44297	46166.0000	6.0000	1	409
410	21.5425	-6.44297	60878.0000	99.0000	1	410
411	21.5925	-6.44297	83392.0000	271.0000	1	411
412	21.6425	-6.44297	105907.0000	480.0000	1	412
413	21.6925	-6.44297	100149.0000	384.0000	1	413
414	21.7425	-6.44297	176072.0000	190.0000	1	414
415	21.7925	-6.44297	132297.0000	0.0000	1	415
416	21.8425	-6.44297	88521.0000	346.0000	1	416
417	21.8925	-6.44297	208015.0000	526.0000	1	417
418	21.9425	-6.44297	315844.0000	398.0000	1	418
419	21.9925	-6.44297	302637.0000	306.0000	1	419
420	22.0425	-6.44297	336406.0000	200.0000	1	420
421	22.0925	-6.44297	281738.0000	369.0000	1	421
422	22.1425	-6.44297	326983.0000	539.0000	1	422
423	22.1925	-6.44297	315437.0000	615.0000	1	423
424	22.2425	-6.44297	303891.0000	692.0000	1	424
425	22.2925	-6.44297	285724.0000	770.0000	1	425
426	22.3425	-6.44297	312541.0000	768.0000	1	426
427	22.3925	-6.44297	196961.0000	176.0000	1	427
428	22.4425	-6.44297	398080.0000	532.0000	1	428
429	22.4925	-6.44297	715720.0000	888.0000	1	429
430	22.5425	-6.44297	608398.0000	1317.0000	1	430
431	22.5925	-6.44297	640847.0000	1126.0000	1	431
432	22.6425	-6.44297	591884.0000	878.0000	1	432
433	22.6925	-6.44297	692840.0000	631.0000	1	433
434	22.7425	-6.44297	342660.0000	579.0000	1	434
435	22.7925	-6.44297	374754.0000	1061.0000	1	435
436	22.8425	-6.44297	459726.0000	1021.0000	1	436
437	22.8925	-6.44297	421545.0000	264.0000	1	437
438	22.9425	-6.44297	563543.0000	1310.0000	1	438
439	22.9925	-6.44297	819502.0000	2472.0000	1	439
440	23.0425	-6.44297	2696018.0000	4392.0000	1	440
441	23.0925	-6.44297	2632378.0000	4608.0000	1	441
442	23.1425	-6.44297	1134630.0000	893.0000	1	442
443	23.1925	-6.44297	2549268.0000	4468.0000	1	443
444	23.2425	-6.44297	1877719.0000	2073.0000	1	444
445	23.2925	-6.44297	605732.0000	606.0000	1	445
446	23.3425	-6.44297	405943.0000	246.0000	1	446
447	23.3925	-6.44297	484626.0000	702.0000	1	447
448	23.4425	-6.44297	1441424.0000	4325.0000	1	448
449	23.4925	-6.44297	2175092.0000	6942.0000	1	449
450	23.5425	-6.44297	3726764.0000	6763.0000	1	450
451	23.5925	-6.44297	2866452.0000	3918.0000	1	451
452	23.6425	-6.44297	809985.0000	4412.0000	1	452
453	23.6925	-6.44297	3511654.0000	6347.0000	1	453
